critic,fresh,imdb,publication,quote,review_date,rtid,title
Owen Gleiberman,fresh,114709.0,Entertainment Weekly,,2011-09-07,9559.0,Toy story
Derek Adams,fresh,114709.0,Time Out,"So ingenious in concept, design and execution that you could watch it on a postage stamp-sized screen and still be engulfed by its charm.",2009-10-04,9559.0,Toy story
Richard Corliss,fresh,114709.0,TIME Magazine,The year's most inventive comedy.,2008-08-31,9559.0,Toy story
David Ansen,fresh,114709.0,Newsweek,A winning animated feature that has something for everyone on the age spectrum.,2008-08-18,9559.0,Toy story
Leonard Klady,fresh,114709.0,Variety,The film sports a provocative and appealing story that's every bit the equal of this technical achievement.,2008-06-09,9559.0,Toy story
Jonathan Rosenbaum,fresh,114709.0,Chicago Reader,"An entertaining computer-generated, hyperrealist animation feature (1995) that's also in effect a toy catalog.",2008-03-10,9559.0,Toy story
Michael Booth,fresh,114709.0,Denver Post,"As Lion King did before it, Toy Story revived the art of American children's animation, and ushered in a set of smart movies that entertained children and their parents. It's a landmark movie, and doesn't get old with frequent repetition.",2007-05-03,9559.0,Toy story
Geoff Andrew,fresh,114709.0,Time Out,"The film will probably be more fully appreciated by adults, who'll love the snappy, knowing verbal gags, the vivid, deftly defined characters, and the overall conceptual sophistication.",2006-06-24,9559.0,Toy story
Janet Maslin,fresh,114709.0,New York Times,Children will enjoy a new take on the irresistible idea of toys coming to life. Adults will marvel at a witty script and utterly brilliant anthropomorphism.,2003-05-20,9559.0,Toy story
Kenneth Turan,fresh,114709.0,Los Angeles Times,"Although its computer-generated imagery is impressive, the major surprise of this bright foray into a new kind of animation is how much cleverness has been invested in story and dialogue.",2001-02-13,9559.0,Toy story
Susan Wloszczyna,fresh,114709.0,USA Today,"How perfect that two of the most popular funny guys around, Tom Hanks and Tim Allen, speak for the lead boy-toys.",2000-01-01,9559.0,Toy story
Roger Ebert,fresh,114709.0,Chicago Sun-Times,The result is a visionary roller-coaster ride of a movie.,2000-01-01,9559.0,Toy story
John Hartl,fresh,114709.0,Film.com,"Disney's witty, wondrously imaginative, all-computer-generated cartoon is far and away the best of the new holiday movies in town.",2000-01-01,9559.0,Toy story
Susan Stark,fresh,114709.0,Detroit News,Disney's first computer-made animated feature is a 3-D eye popper.,2000-01-01,9559.0,Toy story
Peter Stack,fresh,114709.0,San Francisco Chronicle,"The script, by Lasseter, Pete Docter, Andrew Stanton and Joe Ranft, is filled with clever gags that keep the two heroes at each other's throats and the plot on fast- forward.",2000-01-01,9559.0,Toy story
James Berardinelli,fresh,114709.0,ReelViews,The one big negative about Toy Story involves Disney's overcommercialization.,2000-01-01,9559.0,Toy story
Sean Means,fresh,114709.0,Film.com,"Technically, Toy Story is nearly flawless.",2000-01-01,9559.0,Toy story
Rita Kempley,fresh,114709.0,Washington Post,It's a nice change of pace to see the studio draw magic from this modern tale about ordinary 20th-century kid Andy and his eager-to-please playthings.,2000-01-01,9559.0,Toy story
,fresh,114709.0,Entertainment Weekly,"I can hardly imagine having more fun at the movies than I did at Toy Story, the miraculous new Disney feature that's the first full-length animated film to be produced entirely on computer.",1995-11-22,9559.0,Toy story
Roger Moore,fresh,114709.0,Orlando Sentinel,"The great voice acting, the visual puns, all added up to an animation game changer.",1995-11-22,9559.0,Toy story
Owen Gleiberman,rotten,113497.0,Entertainment Weekly,,2011-09-07,12436.0,Jumanji
Leonard Klady,none,113497.0,Variety,,2009-01-02,12436.0,Jumanji
Geoff Andrew,none,113497.0,Time Out,,2006-06-24,12436.0,Jumanji
Janet Maslin,none,113497.0,New York Times,,2003-05-20,12436.0,Jumanji
Peter Stack,none,113497.0,San Francisco Chronicle,,2002-06-18,12436.0,Jumanji
,none,113497.0,Globe and Mail,,2002-04-12,12436.0,Jumanji
Jack Mathews,none,113497.0,Los Angeles Times,,2001-02-13,12436.0,Jumanji
Roger Ebert,rotten,113497.0,Chicago Sun-Times,"A gloomy special-effects extravaganza filled with grotesque images, generating fear and despair.",2000-01-01,12436.0,Jumanji
,none,113497.0,Washington Post,,2000-01-01,12436.0,Jumanji
James Berardinelli,rotten,113497.0,ReelViews,,2000-01-01,12436.0,Jumanji
Susan Stark,fresh,113497.0,Detroit News,,2000-01-01,12436.0,Jumanji
,fresh,113497.0,USA Today,A calculated but very entertaining special effects extravaganza.,2000-01-01,12436.0,Jumanji
,rotten,113497.0,Entertainment Weekly,,1995-12-15,12436.0,Jumanji
Brian Lowry,none,107050.0,Variety,,2010-10-06,10498.0,Grumpy Old Men
,none,107050.0,Variety,,2009-03-26,10498.0,Grumpy Old Men
Richard Schickel,fresh,107050.0,TIME Magazine,Walter Matthau and Jack Lemmon are awfully good at this sort of thing.,2008-08-24,10498.0,Grumpy Old Men
Derek Adams,rotten,107050.0,Time Out,"Mediocre, regrettably.",2006-06-24,10498.0,Grumpy Old Men
Caryn James,fresh,107050.0,New York Times,"Just don't expect their bickering to be on the level of Neil Simon, and you won't be disappointed.",2003-05-20,10498.0,Grumpy Old Men
James Berardinelli,fresh,107050.0,ReelViews,"While it won't come close to my top 10 best list for 1993, it will be right up there among the pictures that I had the most fun watching.",2000-01-01,10498.0,Grumpy Old Men
Roger Ebert,rotten,107050.0,Chicago Sun-Times,"The movie is too pat and practiced to really be convincing, and the progress of Ariel's relationships with the two grumps seems dictated mostly by the needs of the screenplay.",2000-01-01,10498.0,Grumpy Old Men
Desson Thomson,fresh,107050.0,Washington Post,"If you poke through Grumpy's cheap sentimentality, you'll find a worthy picture somewhere.",2000-01-01,10498.0,Grumpy Old Men
,fresh,107050.0,Entertainment Weekly,,1993-12-24,10498.0,Grumpy Old Men
Michael Wilmington,fresh,113277.0,Chicago Tribune,"When Pacino's loud, bruised cop and De Niro's canny crook stare at each other, you can read something spent and weary in their eyes and voices. The heat is hell. So are their jobs -- but somebody's got to do them.",2014-04-29,13098.0,Heat
Anthony Lane,fresh,113277.0,New Yorker,"The taciturn De Niro and the braying Pacino share a flawless scene over a cup of coffee, but the real honors go to Val Kilmer and Ashley Judd as a warring, loving couple.",2014-04-29,13098.0,Heat
Steven Rea,rotten,113277.0,Philadelphia Inquirer,"So why doesn't Heat, with its elaborately staged, tautly edited robberies, its killer cast, edgy score and elegant cinematography, offer more satisfaction? It's the script, stupid.",2014-04-29,13098.0,Heat
David Ansen,fresh,113277.0,Newsweek,"Just when it seemed that the only hope for crime movies lay in the postmodernist artifice of films like Pulp Fiction, Mann reinvests the genre with brooding, modernist conviction. This one sticks to your gut.",2014-04-29,13098.0,Heat
Jonathan Rosenbaum,fresh,113277.0,Chicago Reader,"There's nothing really new in this lengthy 1995 thriller by writer-director Michael Mann about cops and robbers in Los Angeles, but it has craft, pacing, and an overall sense of proportion, three pretty rare classic virtues nowadays.",2014-04-29,13098.0,Heat
Dave Kehr,fresh,113277.0,New York Daily News,"An odd though often entertaining blend of The Asphalt Jungle and Oprah, a traditional cops-and-robbers story weirdly fitted out with long, earnest discussions of interpersonal relationships.",2014-04-29,13098.0,Heat
Jay Boyar,fresh,113277.0,Orlando Sentinel,"There isn't much going on at this party other than what the actors bring to it. But fortunately, Mann has invited some exceptional ones.",2014-04-29,13098.0,Heat
John Hartl,fresh,113277.0,Seattle Times,Heat becomes consistently more interesting as it forges on toward the 180-minute mark.,2014-04-29,13098.0,Heat
Todd McCarthy,fresh,113277.0,Variety,Heat occupies an exalted position among the countless contemporary crime films.,2008-10-16,13098.0,Heat
Peter Travers,fresh,113277.0,Rolling Stone,Robert De Niro's last great role before he devoted himself to self-parody.,2007-08-14,13098.0,Heat
Geoff Andrew,fresh,113277.0,Time Out,"This is simply the best American crime movie -- and indeed, one of the finest movies, period -- in over a decade.",2006-02-09,13098.0,Heat
Janet Maslin,rotten,113277.0,New York Times,"As Heat progresses, its sensational looks pale beside storytelling weaknesses that expose the more soulless aspects of this cat-and-mouse crime tale.",2003-05-20,13098.0,Heat
Kenneth Turan,fresh,113277.0,Los Angeles Times,"Michael Mann and a superlative cast have taken a classic heist movie rife with familiar genre elements and turned it into a sleek, accomplished piece of work, meticulously controlled and completely involving.",2001-02-13,13098.0,Heat
Andrew Ross,rotten,113277.0,Salon.com,"All the squealing tires, flying bullets and falling bodies cannot save Heat from drowning in its own banalities.",2000-01-01,13098.0,Heat
Roger Ebert,fresh,113277.0,Chicago Sun-Times,Michael Mann's writing and direction elevate this material. It's not just an action picture.,2000-01-01,13098.0,Heat
James Berardinelli,rotten,113277.0,ReelViews,... a colossal disappointment.,2000-01-01,13098.0,Heat
Sean Means,fresh,113277.0,Film.com,Heat generates lots of energy but gives off little light.,2000-01-01,13098.0,Heat
Susan Stark,fresh,113277.0,Detroit News,Boosters and touts use the term 'major movie' so often that it's more likely to generate yawns than excitement at this point. Back to basics. Heat is a major movie. With major stars. Doing major acting.,2000-01-01,13098.0,Heat
Edward Guthmann,fresh,113277.0,San Francisco Chronicle,"This is the first time De Niro and Pacino have acted together, and each gives a strong, watertight performance.",2000-01-01,13098.0,Heat
Andy Spletzer,fresh,113277.0,Film.com,The cop/ crime stuff that makes up the bulk of the movie is well thought out and well directed.,2000-01-01,13098.0,Heat
,fresh,47437.0,TIME Magazine,"This is never less than glittering entertainment, but somehow a certain measure of lead has found its way into the formula.",2009-02-03,18228.0,Sabrina
Variety Staff,fresh,47437.0,Variety,"Script is long on glibly quipping dialog, dropped with a seemingly casual air, and broadly played situations. The splendid trouping delivers them style. Leavening the chuckles are tugs at the heart.",2008-10-18,18228.0,Sabrina
Dave Kehr,fresh,47437.0,Chicago Reader,Wilder's tastelessness now seems his major artistic strength.,2007-08-15,18228.0,Sabrina
Derek Adams,fresh,47437.0,Time Out,"It's a Cinderella story that gets turned on its head, a satire about breaking down class and emotional barriers, and a confrontation between New World callousness and Old World humanity.",2006-06-24,18228.0,Sabrina
James Berardinelli,fresh,47437.0,ReelViews,"Hampered by an unimaginative script ... nevertheless manages to be a thoroughly charming, delightfully romantic variation of the Cinderella story.",2000-01-01,18228.0,Sabrina
